0 R N
1 R N
1 R N
2 R N
2 R N
3 R N
3 R N
4 R N
4 R N
5 R N
5 R N
6 R N
6 R N
7 R N
7 R N
8 R N
8 R N
9 R N
9 R N
0 Y N
1 Y N
1 Y N
2 Y N
2 Y N
3 Y N
3 Y N
4 Y N
4 Y N
5 Y N
5 Y N
6 Y N
6 Y N
7 Y N
7 Y N
8 Y N
8 Y N
9 Y N
9 Y N
0 G N
1 G N
1 G N
2 G N
2 G N
3 G N
3 G N
4 G N
4 G N
5 G N
5 G N
6 G N
6 G N
7 G N
7 G N
8 G N
8 G N
9 G N
9 G N
0 B N
1 B N
1 B N
2 B N
2 B N
3 B N
3 B N
4 B N
4 B N
5 B N
5 B N
6 B N
6 B N
7 B N
7 B N
8 B N
8 B N
9 B N
9 B N
+2 R D
+2 R D
Reverse R R
Reverse R R
Skip R S
Skip R S
+2 Y D
+2 Y D
Reverse Y R
Reverse Y R
Skip Y S
Skip Y S
+2 G D
+2 G D
Reverse G R
Reverse G R
Skip G S
Skip G S
+2 B D
+2 B D
Reverse B R
Reverse B R
Skip B S
Skip B S
Wild ? W
Wild ? W
Wild ? W
Wild ? W
Wild ? W
Wild ? W
Wild ? W
Wild ? W
